size,time
100000,161
200000,252
300000,177
400000,252
500000,241
600000,220
700000,366
800000,251
900000,325
1000000,346
1100000,1926
1200000,389
1300000,417
1400000,1689
1500000,217
1600000,159
1700000,2216
1800000,307
1900000,413
2000000,2255
